date,pm10,pm2_5,carbon_monoxide,carbon_dioxide,nitrogen_dioxide,sulphur_dioxide,ozone,methane,uv_index_clear_sky,uv_index,dust,aerosol_optical_depth
2025-02-17 00:00:00+00:00,3.8,3.5,945.0,463.0,5.5,4.4,39.0,1915.0,1.8,1.5,0.0,0.03
2025-02-17 01:00:00+00:00,3.8,3.4,727.0,454.0,4.4,4.2,45.0,1726.0,4.75,3.7,0.0,0.04
2025-02-17 02:00:00+00:00,3.2,2.9,424.0,445.0,2.8,4.0,52.0,1525.0,8.25,6.35,0.0,0.04
2025-02-17 03:00:00+00:00,3.0,2.7,203.0,439.0,1.7,3.8,58.0,1383.0,11.15,9.0,0.0,0.05
2025-02-17 04:00:00+00:00,3.1,2.8,146.0,437.0,1.3,3.7,60.0,1342.0,12.35,10.45,0.0,0.05
2025-02-17 05:00:00+00:00,3.3,2.8,173.0,438.0,1.2,3.6,59.0,1360.0,11.35,9.65,0.0,0.06
2025-02-17 06:00:00+00:00,3.5,3.0,206.0,439.0,1.4,3.5,58.0,1379.0,8.5,7.4,0.0,0.06
2025-02-17 07:00:00+00:00,3.8,3.2,220.0,438.0,1.6,3.4,56.0,1377.0,4.95,4.35,0.0,0.06
2025-02-17 08:00:00+00:00,4.5,3.6,241.0,437.0,2.0,3.4,54.0,1376.0,1.95,1.75,0.0,0.07
2025-02-17 09:00:00+00:00,5.0,3.9,274.0,438.0,3.0,3.6,50.0,1386.0,0.35,0.35,0.0,0.07
2025-02-17 10:00:00+00:00,6.1,5.1,332.0,441.0,5.2,4.3,43.0,1418.0,0.0,0.0,0.0,0.07
2025-02-17 11:00:00+00:00,7.5,6.5,402.0,445.0,8.1,5.2,35.0,1462.0,0.0,0.0,0.0,0.08
2025-02-17 12:00:00+00:00,8.6,7.3,444.0,449.0,8.1,5.0,32.0,1494.0,0.0,0.0,0.0,0.11
2025-02-17 13:00:00+00:00,8.4,7.0,433.0,451.0,7.8,5.0,33.0,1497.0,0.0,0.0,0.0,0.1
2025-02-17 14:00:00+00:00,8.0,6.7,395.0,452.0,7.3,4.9,34.0,1489.0,0.0,0.0,0.0,0.1
2025-02-17 15:00:00+00:00,7.7,6.5,369.0,453.0,6.8,4.8,35.0,1495.0,0.0,0.0,0.0,0.09
2025-02-17 16:00:00+00:00,7.5,6.3,374.0,456.0,6.2,4.5,35.0,1526.0,0.0,0.0,0.0,0.09
2025-02-17 17:00:00+00:00,7.0,6.0,391.0,459.0,5.6,4.0,35.0,1572.0,0.0,0.0,0.0,0.08
2025-02-17 18:00:00+00:00,6.3,5.3,401.0,462.0,5.2,3.7,35.0,1628.0,0.0,0.0,0.0,0.07
2025-02-17 19:00:00+00:00,5.7,4.8,385.0,465.0,5.2,3.6,34.0,1704.0,0.0,0.0,0.0,0.07
2025-02-17 20:00:00+00:00,5.5,4.7,361.0,468.0,5.4,3.6,32.0,1789.0,0.0,0.0,0.0,0.07
2025-02-17 21:00:00+00:00,5.3,4.6,365.0,469.0,5.5,3.7,32.0,1847.0,0.0,0.0,0.0,0.07
2025-02-17 22:00:00+00:00,4.9,4.3,440.0,468.0,5.5,4.0,34.0,1870.0,0.0,0.0,0.0,0.07
2025-02-17 23:00:00+00:00,5.7,5.0,542.0,466.0,5.3,4.4,38.0,1865.0,0.35,0.2,0.0,0.08
2025-02-18 00:00:00+00:00,5.6,5.1,579.0,462.0,5.8,5.1,38.0,1815.0,1.8,1.55,0.0,0.1
2025-02-18 01:00:00+00:00,5.8,4.8,482.0,455.0,4.6,4.7,44.0,1681.0,4.65,3.5,0.0,0.11
2025-02-18 02:00:00+00:00,6.5,5.1,320.0,446.0,2.9,4.1,53.0,1501.0,8.15,5.85,0.0,0.13
2025-02-18 03:00:00+00:00,6.9,5.2,200.0,440.0,1.7,3.7,59.0,1371.0,11.0,6.05,0.0,0.14
2025-02-18 04:00:00+00:00,6.5,4.9,167.0,438.0,1.2,3.5,61.0,1338.0,12.2,5.95,0.0,0.13
2025-02-18 05:00:00+00:00,6.4,4.9,176.0,438.0,1.2,3.4,62.0,1355.0,11.15,7.9,0.0,0.13
2025-02-18 06:00:00+00:00,6.8,5.2,204.0,439.0,1.5,3.4,60.0,1375.0,8.4,6.4,0.0,0.12
2025-02-18 07:00:00+00:00,6.9,5.3,233.0,439.0,2.0,3.5,56.0,1379.0,4.9,3.05,0.0,0.11
2025-02-18 08:00:00+00:00,6.9,5.4,281.0,439.0,2.8,3.7,50.0,1387.0,1.9,1.2,0.0,0.12
2025-02-18 09:00:00+00:00,6.7,5.4,374.0,441.0,4.1,4.1,44.0,1412.0,0.35,0.3,0.0,0.1
2025-02-18 10:00:00+00:00,7.8,6.6,563.0,446.0,6.4,4.7,37.0,1471.0,0.0,0.0,0.0,0.1
2025-02-18 11:00:00+00:00,9.3,8.0,797.0,452.0,9.3,5.4,29.0,1548.0,0.0,0.0,0.0,0.11
2025-02-18 12:00:00+00:00,10.2,8.4,946.0,457.0,8.2,4.9,28.0,1605.0,0.0,0.0,0.0,0.17
2025-02-18 13:00:00+00:00,10.8,8.8,940.0,461.0,8.0,5.0,29.0,1619.0,0.0,0.0,0.0,0.15
2025-02-18 14:00:00+00:00,10.3,8.5,848.0,463.0,7.7,5.1,31.0,1614.0,0.0,0.0,0.0,0.14
2025-02-18 15:00:00+00:00,10.4,8.6,755.0,465.0,7.3,5.1,32.0,1617.0,0.0,0.0,0.0,0.14
